zone,state_group,year,crop,area_ha,production_tonnes,yield_hg_ha,rainfall_mm_annual,temp_avg_celsius,humidity_pct,solar_radiation,latitude,longitude,fertilizer_n_kg,fertilizer_p_kg,fertilizer_k_kg,fertilizer_total_kg,fertilizer_n_kg_zone,fertilizer_p_kg_zone,fertilizer_k_kg_zone,fertilizer_total_kg_zone,fertilizer_kg_ha,wb_fertilizer_kg_ha,agric_gdp_share,rural_population,palm_area_kha,palm_production_kmt,palm_dom_consumption_kmt,palm_exports_kmt,palm_imports_kmt,palm_ending_stocks_kmt,cassava_usda_area_kha,cassava_usda_production_kmt,cassava_usda_exports_kmt
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2005,Oil palm fruit,61000,170000,27869,538.5,28.6654989856115,43.14917979665219,22.695955005012767,11.5,13.0,155000000,52000000,15500000,222500000,3100000.0,1040000.0,310000.0,4450000.0,72.95,7.24118271756749,26.0892828250796,76038866,2290,820,860.0,10,40.0,40.0,3820,45721,240
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2006,Oil palm fruit,62000,172000,27742,465.6,29.553193229744924,41.09529338965669,23.137611447021577,11.5,13.0,162000000,54000000,16000000,232000000,3240000.0,1080000.0,320000.0,4640000.0,74.84,10.3152677723795,24.7349912601339,76887720,2330,840,890.0,10,50.0,45.0,3900,48064,250
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2007,Oil palm fruit,63000,176000,27937,485.2,29.023761631808355,39.66375019284853,22.605602318366326,11.5,13.0,168000000,56000000,16500000,240500000,3360000.0,1120000.0,330000.0,4810000.0,76.35,4.34054958850607,24.6625772142283,77804901,2380,860,920.0,10,60.0,50.0,3950,43418,230
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2008,Oil palm fruit,64000,182000,28438,456.9,28.091835502952712,39.40675610312856,22.470028312018695,11.5,13.0,175000000,58000000,17000000,250000000,3500000.0,1160000.0,340000.0,5000000.0,78.12,5.89698135295593,25.2797507802655,78717888,2420,880,950.0,10,70.0,55.0,4000,44582,240
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2009,Oil palm fruit,65600,186000,28354,437.8,29.16067309598004,39.06061320787229,22.947026438896284,11.5,13.0,182000000,60000000,17500000,259500000,3640000.0,1200000.0,350000.0,5190000.0,79.12,4.56587654588848,26.7488545066519,79623758,2460,900,980.0,10,80.0,60.0,3980,44564,240
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2010,Oil palm fruit,67000,190000,28358,464.0,28.745801700539296,41.536559514252815,22.446487324468933,11.5,13.0,190000000,63000000,18000000,271000000,3800000.0,1260000.0,360000.0,5420000.0,80.9,11.2145520311631,23.8937040912791,80525477,2500,920,1020.0,5,95.0,55.0,4010,45700,250
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2011,Oil palm fruit,68000,194000,28529,487.2,29.33009886478372,43.87891634705585,22.5176721259748,11.5,13.0,198000000,66000000,18500000,282500000,3960000.0,1320000.0,370000.0,5650000.0,83.09,6.20177365099664,22.2347109931956,81421843,2540,940,1040.0,5,100.0,60.0,4050,52403,270
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2012,Oil palm fruit,69000,200000,28986,549.6,29.509665910132394,40.534393157934865,22.58856044578925,11.5,13.0,210000000,70000000,19500000,299500000,4200000.0,1400000.0,390000.0,5990000.0,86.81,8.42718662333694,21.8599586165277,82281965,2590,960,1050.0,5,100.0,65.0,4090,54000,280
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2013,Oil palm fruit,69600,204000,29310,487.6,29.508591297698256,39.253596515602766,23.345032920450105,11.5,13.0,225000000,75000000,20500000,320500000,4500000.0,1500000.0,410000.0,6410000.0,92.1,8.50913026586002,20.7586228322439,83078003,2640,980,1070.0,5,100.0,65.0,4120,54830,290
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2014,Oil palm fruit,70000,204000,29143,459.6,28.67631367799714,42.84461909553393,23.733986251049252,11.5,13.0,240000000,80000000,21500000,341500000,4800000.0,1600000.0,430000.0,6830000.0,97.57,8.95755004713581,19.9902547680805,83796300,2680,1000,1090.0,5,100.0,70.0,4130,57000,300
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2015,Oil palm fruit,70400,206000,29261,472.9,28.769969001976335,42.24913997064734,22.896723001273372,11.5,13.0,265000000,88000000,23000000,376000000,5300000.0,1760000.0,460000.0,7520000.0,106.82,7.96584203673435,20.6318934800012,84405544,2720,1010,1100.0,5,100.0,75.0,4150,59300,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2016,Oil palm fruit,71000,208000,29296,482.9,27.967571505754957,38.12315669005392,23.655336369038505,11.5,13.0,280000000,93000000,24000000,397000000,5600000.0,1860000.0,480000.0,7940000.0,111.83,10.734949763348,20.9831097083173,84937802,2760,1020,1120.0,5,110.0,70.0,4160,59587,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2017,Oil palm fruit,71600,212000,29609,505.9,29.604541366022367,38.95702013472754,22.835579024507812,11.5,13.0,295000000,98000000,25000000,418000000,5900000.0,1960000.0,500000.0,8360000.0,116.76,20.295907079646,20.8465714300542,85411312,2800,1040,1140.0,5,110.0,65.0,4180,59200,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2018,Oil palm fruit,72200,214000,29640,551.0,28.97004654727159,43.45229943198645,22.167823919015465,11.5,13.0,310000000,103000000,26000000,439000000,6200000.0,2060000.0,520000.0,8780000.0,121.61,18.8412959912136,21.203773720121,85755936,2840,1060,1170.0,5,120.0,70.0,4200,59200,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2019,Oil palm fruit,73000,218000,29863,523.3,29.40422957318483,42.033418024035875,22.528337136603025,11.5,13.0,320000000,107000000,27000000,454000000,6400000.0,2140000.0,540000.0,9080000.0,124.38,18.6103276198742,25.7349305726601,85970564,2880,1080,1200.0,5,130.0,75.0,4250,60000,320
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2020,Oil palm fruit,73600,218000,29620,529.8,29.28084067547684,40.948564405199136,23.201124078327833,11.5,13.0,315000000,105000000,26500000,446500000,6300000.0,2100000.0,530000.0,8930000.0,121.33,22.5588522456064,28.3454204380593,86099297,2920,1090,1210.0,5,135.0,80.0,4260,60000,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2021,Oil palm fruit,74000,222000,30000,547.4,28.605185974603483,40.82133464852995,22.812017963522656,11.5,13.0,325000000,108000000,27500000,460500000,6500000.0,2160000.0,550000.0,9210000.0,124.46,17.9649598611412,29.3882780431661,86166415,2950,1110,1240.0,5,140.0,85.0,4280,61000,320
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2022,Oil palm fruit,74400,224000,30108,464.6,29.13448598720516,36.78390803350837,24.003768817488808,11.5,13.0,310000000,103000000,26000000,439000000,6200000.0,2060000.0,520000.0,8780000.0,118.01,7.28113473638533,28.5515522199731,86197021,2980,1130,1260.0,5,140.0,90.0,4300,61500,320
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2023,Oil palm fruit,74800,228000,30481,507.0,28.648736236958516,35.13422736473995,23.614470954167636,11.5,13.0,295000000,98000000,24500000,417500000,5900000.0,1960000.0,490000.0,8350000.0,111.63,4.23860924278585,27.718291279131,86197462,3000,1150,1280.0,5,145.0,90.0,4330,62000,330
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2000,Rice (paddy),378000,594000,15714,487.5,28.468732510018405,36.54202974088082,23.022099337943107,11.5,13.0,128000000,42000000,12000000,182000000,23040000.0,7560000.0,2160000.0,32760000.0,86.67,5.35714285714286,21.3572412972176,71686040,2120,720,740.0,10,30.0,45.0,3100,32000,200
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2001,Rice (paddy),385200,613800,15935,435.6,28.11782131054302,40.75945684991101,22.87016645251637,11.5,13.0,132000000,44000000,13000000,189000000,23760000.0,7920000.0,2340000.0,34020000.0,88.32,6.19898460071246,24.4753546604632,72559112,2150,740,760.0,10,30.0,45.0,3200,34000,210
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2002,Rice (paddy),392400,630000,16055,471.6,27.936152532555713,37.23440099875701,22.298496999117482,11.5,13.0,138000000,46000000,14000000,198000000,24840000.0,8280000.0,2520000.0,35640000.0,90.83,4.31467159829635,36.9650826661797,73437219,2180,760,790.0,10,30.0,40.0,3380,37953,220
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2003,Rice (paddy),396000,630000,15909,501.3,29.44697156743902,41.762241174146176,23.130085392077902,11.5,13.0,142000000,48000000,14500000,204500000,25560000.0,8640000.0,2610000.0,36810000.0,92.95,6.01738570508693,33.8270605515687,74312783,2220,780,810.0,10,30.0,40.0,3570,40000,220
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2004,Rice (paddy),399600,648000,16216,474.5,29.09170242637148,37.06289445680971,23.023168471381133,11.5,13.0,148000000,50000000,15000000,213000000,26640000.0,9000000.0,2700000.0,38340000.0,95.95,4.44963777237,27.2304536006497,75184138,2260,800,840.0,10,30.0,40.0,3720,43410,230
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2005,Rice (paddy),405000,684000,16889,538.5,28.6654989856115,43.14917979665219,22.695955005012767,11.5,13.0,155000000,52000000,15500000,222500000,27900000.0,9360000.0,2790000.0,40050000.0,98.89,7.24118271756749,26.0892828250796,76038866,2290,820,860.0,10,40.0,40.0,3820,45721,240
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2006,Rice (paddy),410400,720000,17544,465.6,29.553193229744924,41.09529338965669,23.137611447021577,11.5,13.0,162000000,54000000,16000000,232000000,29160000.0,9720000.0,2880000.0,41760000.0,101.75,10.3152677723795,24.7349912601339,76887720,2330,840,890.0,10,50.0,45.0,3900,48064,250
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2007,Rice (paddy),415800,756000,18182,485.2,29.023761631808355,39.66375019284853,22.605602318366326,11.5,13.0,168000000,56000000,16500000,240500000,30240000.0,10080000.0,2970000.0,43290000.0,104.11,4.34054958850607,24.6625772142283,77804901,2380,860,920.0,10,60.0,50.0,3950,43418,230
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2008,Rice (paddy),421200,792000,18803,456.9,28.091835502952712,39.40675610312856,22.470028312018695,11.5,13.0,175000000,58000000,17000000,250000000,31500000.0,10440000.0,3060000.0,45000000.0,106.84,5.89698135295593,25.2797507802655,78717888,2420,880,950.0,10,70.0,55.0,4000,44582,240
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2009,Rice (paddy),426600,810000,18987,437.8,29.16067309598004,39.06061320787229,22.947026438896284,11.5,13.0,182000000,60000000,17500000,259500000,32760000.0,10800000.0,3150000.0,46710000.0,109.49,4.56587654588848,26.7488545066519,79623758,2460,900,980.0,10,80.0,60.0,3980,44564,240
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2010,Rice (paddy),432000,846000,19583,464.0,28.745801700539296,41.536559514252815,22.446487324468933,11.5,13.0,190000000,63000000,18000000,271000000,34200000.0,11340000.0,3240000.0,48780000.0,112.92,11.2145520311631,23.8937040912791,80525477,2500,920,1020.0,5,95.0,55.0,4010,45700,250
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2011,Rice (paddy),437400,882000,20165,487.2,29.33009886478372,43.87891634705585,22.5176721259748,11.5,13.0,198000000,66000000,18500000,282500000,35640000.0,11880000.0,3330000.0,50850000.0,116.26,6.20177365099664,22.2347109931956,81421843,2540,940,1040.0,5,100.0,60.0,4050,52403,270
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2012,Rice (paddy),442800,918000,20732,549.6,29.509665910132394,40.534393157934865,22.58856044578925,11.5,13.0,210000000,70000000,19500000,299500000,37800000.0,12600000.0,3510000.0,53910000.0,121.75,8.42718662333694,21.8599586165277,82281965,2590,960,1050.0,5,100.0,65.0,4090,54000,280
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2013,Rice (paddy),448200,900000,20080,487.6,29.508591297698256,39.253596515602766,23.345032920450105,11.5,13.0,225000000,75000000,20500000,320500000,40500000.0,13500000.0,3690000.0,57690000.0,128.71,8.50913026586002,20.7586228322439,83078003,2640,980,1070.0,5,100.0,65.0,4120,54830,290
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2014,Rice (paddy),453600,936000,20635,459.6,28.67631367799714,42.84461909553393,23.733986251049252,11.5,13.0,240000000,80000000,21500000,341500000,43200000.0,14400000.0,3870000.0,61470000.0,135.52,8.95755004713581,19.9902547680805,83796300,2680,1000,1090.0,5,100.0,70.0,4130,57000,300
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2015,Rice (paddy),459000,972000,21176,472.9,28.769969001976335,42.24913997064734,22.896723001273372,11.5,13.0,265000000,88000000,23000000,376000000,47700000.0,15840000.0,4140000.0,67680000.0,147.45,7.96584203673435,20.6318934800012,84405544,2720,1010,1100.0,5,100.0,75.0,4150,59300,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2016,Rice (paddy),464400,1008000,21705,482.9,27.967571505754957,38.12315669005392,23.655336369038505,11.5,13.0,280000000,93000000,24000000,397000000,50400000.0,16740000.0,4320000.0,71460000.0,153.88,10.734949763348,20.9831097083173,84937802,2760,1020,1120.0,5,110.0,70.0,4160,59587,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2017,Rice (paddy),469800,1044000,22222,505.9,29.604541366022367,38.95702013472754,22.835579024507812,11.5,13.0,295000000,98000000,25000000,418000000,53100000.0,17640000.0,4500000.0,75240000.0,160.15,20.295907079646,20.8465714300542,85411312,2800,1040,1140.0,5,110.0,65.0,4180,59200,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2018,Rice (paddy),475200,1080000,22727,551.0,28.97004654727159,43.45229943198645,22.167823919015465,11.5,13.0,310000000,103000000,26000000,439000000,55800000.0,18540000.0,4680000.0,79020000.0,166.29,18.8412959912136,21.203773720121,85755936,2840,1060,1170.0,5,120.0,70.0,4200,59200,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2019,Rice (paddy),480600,1098000,22846,523.3,29.40422957318483,42.033418024035875,22.528337136603025,11.5,13.0,320000000,107000000,27000000,454000000,57600000.0,19260000.0,4860000.0,81720000.0,170.04,18.6103276198742,25.7349305726601,85970564,2880,1080,1200.0,5,130.0,75.0,4250,60000,320
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2020,Rice (paddy),482400,1116000,23134,529.8,29.28084067547684,40.948564405199136,23.201124078327833,11.5,13.0,315000000,105000000,26500000,446500000,56700000.0,18900000.0,4770000.0,80370000.0,166.6,22.5588522456064,28.3454204380593,86099297,2920,1090,1210.0,5,135.0,80.0,4260,60000,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2021,Rice (paddy),486000,1134000,23333,547.4,28.605185974603483,40.82133464852995,22.812017963522656,11.5,13.0,325000000,108000000,27500000,460500000,58500000.0,19440000.0,4950000.0,82890000.0,170.56,17.9649598611412,29.3882780431661,86166415,2950,1110,1240.0,5,140.0,85.0,4280,61000,320
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2022,Rice (paddy),489600,1152000,23529,464.6,29.13448598720516,36.78390803350837,24.003768817488808,11.5,13.0,310000000,103000000,26000000,439000000,55800000.0,18540000.0,4680000.0,79020000.0,161.4,7.28113473638533,28.5515522199731,86197021,2980,1130,1260.0,5,140.0,90.0,4300,61500,320
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2023,Rice (paddy),493200,1188000,24088,507.0,28.648736236958516,35.13422736473995,23.614470954167636,11.5,13.0,295000000,98000000,24500000,417500000,53100000.0,17640000.0,4410000.0,75150000.0,152.37,4.23860924278585,27.718291279131,86197462,3000,1150,1280.0,5,145.0,90.0,4330,62000,330
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2000,Sorghum,1536000,2304000,15000,487.5,28.468732510018405,36.54202974088082,23.022099337943107,11.5,13.0,128000000,42000000,12000000,182000000,40960000.0,13440000.0,3840000.0,58240000.0,37.92,5.35714285714286,21.3572412972176,71686040,2120,720,740.0,10,30.0,45.0,3100,32000,200
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2001,Sorghum,1552000,2368000,15258,435.6,28.11782131054302,40.75945684991101,22.87016645251637,11.5,13.0,132000000,44000000,13000000,189000000,42240000.0,14080000.0,4160000.0,60480000.0,38.97,6.19898460071246,24.4753546604632,72559112,2150,740,760.0,10,30.0,45.0,3200,34000,210
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2002,Sorghum,1568000,2496000,15918,471.6,27.936152532555713,37.23440099875701,22.298496999117482,11.5,13.0,138000000,46000000,14000000,198000000,44160000.0,14720000.0,4480000.0,63360000.0,40.41,4.31467159829635,36.9650826661797,73437219,2180,760,790.0,10,30.0,40.0,3380,37953,220
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2003,Sorghum,1574400,2560000,16260,501.3,29.44697156743902,41.762241174146176,23.130085392077902,11.5,13.0,142000000,48000000,14500000,204500000,45440000.0,15360000.0,4640000.0,65440000.0,41.57,6.01738570508693,33.8270605515687,74312783,2220,780,810.0,10,30.0,40.0,3570,40000,220
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2004,Sorghum,1584000,2624000,16566,474.5,29.09170242637148,37.06289445680971,23.023168471381133,11.5,13.0,148000000,50000000,15000000,213000000,47360000.0,16000000.0,4800000.0,68160000.0,43.03,4.44963777237,27.2304536006497,75184138,2260,800,840.0,10,30.0,40.0,3720,43410,230
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2005,Sorghum,1590400,2688000,16900,538.5,28.6654989856115,43.14917979665219,22.695955005012767,11.5,13.0,155000000,52000000,15500000,222500000,49600000.0,16640000.0,4960000.0,71200000.0,44.77,7.24118271756749,26.0892828250796,76038866,2290,820,860.0,10,40.0,40.0,3820,45721,240
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2006,Sorghum,1600000,2752000,17200,465.6,29.553193229744924,41.09529338965669,23.137611447021577,11.5,13.0,162000000,54000000,16000000,232000000,51840000.0,17280000.0,5120000.0,74240000.0,46.4,10.3152677723795,24.7349912601339,76887720,2330,840,890.0,10,50.0,45.0,3900,48064,250
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2007,Sorghum,1606400,2784000,17331,485.2,29.023761631808355,39.66375019284853,22.605602318366326,11.5,13.0,168000000,56000000,16500000,240500000,53760000.0,17920000.0,5280000.0,76960000.0,47.91,4.34054958850607,24.6625772142283,77804901,2380,860,920.0,10,60.0,50.0,3950,43418,230
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2008,Sorghum,1612800,2848000,17659,456.9,28.091835502952712,39.40675610312856,22.470028312018695,11.5,13.0,175000000,58000000,17000000,250000000,56000000.0,18560000.0,5440000.0,80000000.0,49.6,5.89698135295593,25.2797507802655,78717888,2420,880,950.0,10,70.0,55.0,4000,44582,240
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2009,Sorghum,1619200,2912000,17984,437.8,29.16067309598004,39.06061320787229,22.947026438896284,11.5,13.0,182000000,60000000,17500000,259500000,58240000.0,19200000.0,5600000.0,83040000.0,51.28,4.56587654588848,26.7488545066519,79623758,2460,900,980.0,10,80.0,60.0,3980,44564,240
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2010,Sorghum,1625600,2976000,18307,464.0,28.745801700539296,41.536559514252815,22.446487324468933,11.5,13.0,190000000,63000000,18000000,271000000,60800000.0,20160000.0,5760000.0,86720000.0,53.35,11.2145520311631,23.8937040912791,80525477,2500,920,1020.0,5,95.0,55.0,4010,45700,250
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2011,Sorghum,1632000,3072000,18824,487.2,29.33009886478372,43.87891634705585,22.5176721259748,11.5,13.0,198000000,66000000,18500000,282500000,63360000.0,21120000.0,5920000.0,90400000.0,55.39,6.20177365099664,22.2347109931956,81421843,2540,940,1040.0,5,100.0,60.0,4050,52403,270
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2012,Sorghum,1638400,3136000,19141,549.6,29.509665910132394,40.534393157934865,22.58856044578925,11.5,13.0,210000000,70000000,19500000,299500000,67200000.0,22400000.0,6240000.0,95840000.0,58.5,8.42718662333694,21.8599586165277,82281965,2590,960,1050.0,5,100.0,65.0,4090,54000,280
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2013,Sorghum,1641600,3200000,19493,487.6,29.508591297698256,39.253596515602766,23.345032920450105,11.5,13.0,225000000,75000000,20500000,320500000,72000000.0,24000000.0,6560000.0,102560000.0,62.48,8.50913026586002,20.7586228322439,83078003,2640,980,1070.0,5,100.0,65.0,4120,54830,290
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2014,Sorghum,1644800,3264000,19845,459.6,28.67631367799714,42.84461909553393,23.733986251049252,11.5,13.0,240000000,80000000,21500000,341500000,76800000.0,25600000.0,6880000.0,109280000.0,66.44,8.95755004713581,19.9902547680805,83796300,2680,1000,1090.0,5,100.0,70.0,4130,57000,300
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2015,Sorghum,1648000,3296000,20000,472.9,28.769969001976335,42.24913997064734,22.896723001273372,11.5,13.0,265000000,88000000,23000000,376000000,84800000.0,28160000.0,7360000.0,120320000.0,73.01,7.96584203673435,20.6318934800012,84405544,2720,1010,1100.0,5,100.0,75.0,4150,59300,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2016,Sorghum,1648000,3328000,20194,482.9,27.967571505754957,38.12315669005392,23.655336369038505,11.5,13.0,280000000,93000000,24000000,397000000,89600000.0,29760000.0,7680000.0,127040000.0,77.09,10.734949763348,20.9831097083173,84937802,2760,1020,1120.0,5,110.0,70.0,4160,59587,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2017,Sorghum,1651200,3360000,20349,505.9,29.604541366022367,38.95702013472754,22.835579024507812,11.5,13.0,295000000,98000000,25000000,418000000,94400000.0,31360000.0,8000000.0,133760000.0,81.01,20.295907079646,20.8465714300542,85411312,2800,1040,1140.0,5,110.0,65.0,4180,59200,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2018,Sorghum,1654400,3392000,20503,551.0,28.97004654727159,43.45229943198645,22.167823919015465,11.5,13.0,310000000,103000000,26000000,439000000,99200000.0,32960000.0,8320000.0,140480000.0,84.91,18.8412959912136,21.203773720121,85755936,2840,1060,1170.0,5,120.0,70.0,4200,59200,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2019,Sorghum,1657600,3456000,20849,523.3,29.40422957318483,42.033418024035875,22.528337136603025,11.5,13.0,320000000,107000000,27000000,454000000,102400000.0,34240000.0,8640000.0,145280000.0,87.64,18.6103276198742,25.7349305726601,85970564,2880,1080,1200.0,5,130.0,75.0,4250,60000,320
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2020,Sorghum,1657600,3456000,20849,529.8,29.28084067547684,40.948564405199136,23.201124078327833,11.5,13.0,315000000,105000000,26500000,446500000,100800000.0,33600000.0,8480000.0,142880000.0,86.2,22.5588522456064,28.3454204380593,86099297,2920,1090,1210.0,5,135.0,80.0,4260,60000,310
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2021,Sorghum,1660800,3520000,21195,547.4,28.605185974603483,40.82133464852995,22.812017963522656,11.5,13.0,325000000,108000000,27500000,460500000,104000000.0,34560000.0,8800000.0,147360000.0,88.73,17.9649598611412,29.3882780431661,86166415,2950,1110,1240.0,5,140.0,85.0,4280,61000,320
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2022,Sorghum,1664000,3584000,21538,464.6,29.13448598720516,36.78390803350837,24.003768817488808,11.5,13.0,310000000,103000000,26000000,439000000,99200000.0,32960000.0,8320000.0,140480000.0,84.42,7.28113473638533,28.5515522199731,86197021,2980,1130,1260.0,5,140.0,90.0,4300,61500,320
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2023,Sorghum,1667200,3648000,21881,507.0,28.648736236958516,35.13422736473995,23.614470954167636,11.5,13.0,295000000,98000000,24500000,417500000,94400000.0,31360000.0,7840000.0,133600000.0,80.13,4.23860924278585,27.718291279131,86197462,3000,1150,1280.0,5,145.0,90.0,4330,62000,330
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2000,Yam,105000,1150000,109524,487.5,28.468732510018405,36.54202974088082,23.022099337943107,11.5,13.0,128000000,42000000,12000000,182000000,6400000.0,2100000.0,600000.0,9100000.0,86.67,5.35714285714286,21.3572412972176,71686040,2120,720,740.0,10,30.0,45.0,3100,32000,200
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2001,Yam,110000,1300000,118182,435.6,28.11782131054302,40.75945684991101,22.87016645251637,11.5,13.0,132000000,44000000,13000000,189000000,6600000.0,2200000.0,650000.0,9450000.0,85.91,6.19898460071246,24.4753546604632,72559112,2150,740,760.0,10,30.0,45.0,3200,34000,210
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2002,Yam,115000,1300000,113043,471.6,27.936152532555713,37.23440099875701,22.298496999117482,11.5,13.0,138000000,46000000,14000000,198000000,6900000.0,2300000.0,700000.0,9900000.0,86.09,4.31467159829635,36.9650826661797,73437219,2180,760,790.0,10,30.0,40.0,3380,37953,220
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2003,Yam,120000,1350000,112500,501.3,29.44697156743902,41.762241174146176,23.130085392077902,11.5,13.0,142000000,48000000,14500000,204500000,7100000.0,2400000.0,725000.0,10225000.0,85.21,6.01738570508693,33.8270605515687,74312783,2220,780,810.0,10,30.0,40.0,3570,40000,220
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2004,Yam,125000,1425000,114000,474.5,29.09170242637148,37.06289445680971,23.023168471381133,11.5,13.0,148000000,50000000,15000000,213000000,7400000.0,2500000.0,750000.0,10650000.0,85.2,4.44963777237,27.2304536006497,75184138,2260,800,840.0,10,30.0,40.0,3720,43410,230
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2005,Yam,127000,1591750,125335,538.5,28.6654989856115,43.14917979665219,22.695955005012767,11.5,13.0,155000000,52000000,15500000,222500000,7750000.0,2600000.0,775000.0,11125000.0,87.6,7.24118271756749,26.0892828250796,76038866,2290,820,860.0,10,40.0,40.0,3820,45721,240
North East,"Borno, Yobe, Adamawa, Gombe, Bauchi, Taraba",2006,Yam,129000,1840950,142709,465.6,29.553193229744924,41.09529338965669,23.137611447021577,11.5,13.0,162000000,54000000,16000000,232000000,8100000.0,2700000.0,800000.0,11600000.0,89.92,10.3152677723795,24.7349912601339,76887720,2330,840,890.0,10,50.0,45.0,3900,48064,250
